epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02365,1.60246,2.50387,1.43855,0.44719,0.55682,0.46711,0.18733,1.58673,7.17913,1.43919,0.00058,0.00058,0.00058
2,9.4717,1.62784,1.75192,1.4407,0.03963,0.71023,0.03646,0.01524,1.91098,117.649,2.6558,0.00117708,0.00117708,0.00117708
3,11.8592,1.75783,1.72895,1.54875,0.11036,0.52841,0.08318,0.03086,2.09413,16.643,2.45192,0.00177119,0.00177119,0.00177119
4,14.6638,1.76761,1.79621,1.56304,0.26181,0.4375,0.19915,0.07804,2.09311,4.65894,2.58783,0.00198515,0.00198515,0.00198515
5,17.2151,1.73644,1.6854,1.57087,0.26749,0.39205,0.24472,0.09706,2.09862,12.3054,2.23744,0.0019802,0.0019802,0.0019802
6,19.91,1.7372,1.63749,1.54292,0.20939,0.29545,0.14842,0.05704,2.33516,3.68345,2.14245,0.00197525,0.00197525,0.00197525
7,22.6026,1.68356,1.60342,1.4993,0.2469,0.29545,0.17343,0.07176,1.99785,3.63874,1.8044,0.0019703,0.0019703,0.0019703
8,25.0026,1.68283,1.58857,1.48914,0.4762,0.38636,0.33498,0.1458,1.88863,2.37403,1.79072,0.00196535,0.00196535,0.00196535
9,27.409,1.6329,1.53289,1.48164,0.48639,0.48428,0.43449,0.20275,1.84691,2.4346,1.82699,0.0019604,0.0019604,0.0019604
10,29.729,1.60122,1.50369,1.42515,0.38934,0.46023,0.33695,0.14505,1.8573,2.75671,1.72506,0.00195545,0.00195545,0.00195545
11,31.9968,1.59245,1.56061,1.44057,0.48644,0.63068,0.54179,0.22483,1.74322,1.89271,1.60916,0.0019505,0.0019505,0.0019505
12,34.676,1.60988,1.5357,1.45514,0.41988,0.52273,0.418,0.18236,1.87117,1.7672,1.72539,0.00194555,0.00194555,0.00194555
13,37.0464,1.60784,1.43735,1.46177,0.48498,0.48154,0.43892,0.20045,1.81941,2.00751,1.67351,0.0019406,0.0019406,0.0019406
14,39.3594,1.53847,1.44487,1.43284,0.44647,0.51329,0.41351,0.18708,1.72042,1.87245,1.59588,0.00193565,0.00193565,0.00193565
15,41.6457,1.51447,1.41747,1.40173,0.47814,0.61932,0.51006,0.23495,1.74255,1.56574,1.59428,0.0019307,0.0019307,0.0019307
