epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76459,1.59123,4.32723,1.68748,0.2494,0.32386,0.1616,0.06137,1.99731,5.27975,2.09735,0.000647619,0.000647619,0.000647619
2,12.9311,1.69222,2.20385,1.73296,0.13954,0.23864,0.06201,0.01818,2.76463,5.37071,7.25405,0.00131103,0.00131103,0.00131103
3,16.9987,1.82491,2.16821,1.82489,0.03981,0.05682,0.00785,0.00203,nan,nan,nan,0.00197115,0.00197115,0.00197115
4,20.9246,1.8006,2.11473,1.81055,0.20435,0.24432,0.14299,0.05177,2.37975,16.3665,3.17397,0.00198515,0.00198515,0.00198515
5,24.9398,1.79787,2.01869,1.77617,0.09531,0.32955,0.05836,0.02045,2.24782,18.9551,2.71704,0.0019802,0.0019802,0.0019802
6,28.9556,1.65443,1.92899,1.72525,0.29561,0.34659,0.25972,0.10597,1.76748,6.1696,1.93966,0.00197525,0.00197525,0.00197525
7,32.9298,1.63526,1.90586,1.66634,0.41701,0.44299,0.33234,0.1516,1.89255,2.81289,2.0249,0.0019703,0.0019703,0.0019703
8,36.8426,1.65822,1.84554,1.68488,0.46287,0.48474,0.4364,0.15572,1.88261,2.5154,1.89274,0.00196535,0.00196535,0.00196535
9,40.7896,1.61337,1.83484,1.66865,0.39373,0.49432,0.39564,0.17425,1.68355,2.12543,1.76369,0.0019604,0.0019604,0.0019604
10,44.7369,1.5806,1.76823,1.62783,0.32265,0.49432,0.31038,0.13415,1.74502,2.79621,1.80398,0.00195545,0.00195545,0.00195545
11,48.6489,1.58447,1.75851,1.63759,0.37571,0.43182,0.32871,0.14209,1.79187,2.03229,1.8725,0.0019505,0.0019505,0.0019505
12,52.7546,1.54077,1.72063,1.58176,0.53525,0.48864,0.49987,0.24144,1.65242,1.6636,1.67274,0.00194555,0.00194555,0.00194555
13,56.6347,1.50006,1.65726,1.57323,0.48346,0.53711,0.49012,0.22704,1.70237,1.64319,1.75774,0.0019406,0.0019406,0.0019406
14,60.6965,1.50074,1.66703,1.54611,0.44905,0.55682,0.45353,0.18995,1.80569,1.84227,1.78487,0.00193565,0.00193565,0.00193565
15,64.6769,1.47664,1.66851,1.53313,0.52227,0.55682,0.47423,0.20175,1.80137,1.89428,1.85337,0.0019307,0.0019307,0.0019307
16,68.5924,1.45631,1.60659,1.50928,0.5223,0.55114,0.52882,0.25894,1.54878,1.74743,1.56763,0.00192575,0.00192575,0.00192575
