epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.19813,1.67259,2.83729,1.50602,0.38315,0.51705,0.39407,0.17207,1.56562,4.86678,1.31496,0.0029,0.0029,0.0029
2,13.186,1.42116,1.64901,1.31028,0.59243,0.49432,0.49296,0.23062,1.52352,1.90348,1.26788,0.00589708,0.00589708,0.00589708
3,17.1088,1.42053,1.58038,1.25003,0.47988,0.52273,0.4367,0.19977,1.49172,3.02387,1.30507,0.00889119,0.00889119,0.00889119
4,21.0404,1.41938,1.80291,1.23256,0.55,0.38636,0.3543,0.14232,1.85604,2.15477,1.46243,0.00998515,0.00998515,0.00998515
5,24.8799,1.52782,1.62278,1.32129,0.40511,0.52841,0.38037,0.15299,1.77131,1.97082,1.5272,0.0099802,0.0099802,0.0099802
6,28.8083,1.50111,1.4822,1.27856,0.43403,0.45455,0.34766,0.16186,1.64365,2.50785,1.44873,0.00997525,0.00997525,0.00997525
7,32.6668,1.53349,1.50001,1.31542,0.40204,0.52273,0.38931,0.16935,1.71066,2.02555,1.442,0.0099703,0.0099703,0.0099703
8,36.4848,1.5425,1.47746,1.32626,0.32307,0.49432,0.2914,0.13453,1.88997,2.69255,1.68078,0.00996535,0.00996535,0.00996535
9,40.2813,1.49742,1.45132,1.3137,0.40668,0.39205,0.31218,0.1535,1.69449,5.4278,1.48726,0.0099604,0.0099604,0.0099604
10,44.205,1.53611,1.44912,1.28195,0.38813,0.52273,0.37222,0.16274,1.71282,3.12334,1.48764,0.00995545,0.00995545,0.00995545
11,48.1725,1.53054,1.46779,1.30247,0.55077,0.51705,0.49186,0.20606,1.7053,2.4097,1.44833,0.0099505,0.0099505,0.0099505
12,52.265,1.51129,1.45063,1.3082,0.49702,0.45455,0.41803,0.17345,1.77118,2.3524,1.57274,0.00994555,0.00994555,0.00994555
13,56.0742,1.52489,1.43034,1.32408,0.48918,0.57955,0.47051,0.22205,1.74671,2.31555,1.52959,0.0099406,0.0099406,0.0099406
14,60.2008,1.46365,1.38253,1.28769,0.4684,0.60795,0.4889,0.21721,1.66591,2.31659,1.44603,0.00993565,0.00993565,0.00993565
15,64.1457,1.46263,1.38459,1.30207,0.53404,0.55352,0.4916,0.21807,1.61997,2.30854,1.40261,0.0099307,0.0099307,0.0099307
16,67.9767,1.51334,1.36416,1.31486,0.6156,0.63636,0.62516,0.28768,1.69616,1.55705,1.44178,0.00992575,0.00992575,0.00992575
17,71.9989,1.47346,1.4238,1.29354,0.52407,0.63636,0.57653,0.28089,1.68547,1.63112,1.43572,0.0099208,0.0099208,0.0099208
18,75.931,1.46875,1.37232,1.28043,0.58198,0.54581,0.56349,0.26408,1.67716,1.48766,1.44563,0.00991585,0.00991585,0.00991585
19,79.8599,1.47985,1.29636,1.29655,0.54431,0.5625,0.53991,0.25619,1.6287,1.54777,1.42519,0.0099109,0.0099109,0.0099109
20,83.7118,1.48724,1.39298,1.31416,0.55589,0.55114,0.5306,0.24947,1.619,1.52214,1.39056,0.00990595,0.00990595,0.00990595
21,87.4794,1.42929,1.34925,1.29159,0.57034,0.60795,0.58576,0.2894,1.60336,1.40105,1.40714,0.009901,0.009901,0.009901
22,91.3328,1.36759,1.28697,1.2651,0.56647,0.69318,0.61905,0.28682,1.62224,1.39203,1.43443,0.00989605,0.00989605,0.00989605
23,95.1286,1.43942,1.28171,1.29067,0.56476,0.60795,0.55047,0.24753,1.73109,1.59804,1.45917,0.0098911,0.0098911,0.0098911
24,98.8715,1.45722,1.29365,1.29187,0.67559,0.6875,0.65837,0.33199,1.51724,1.45023,1.36251,0.00988615,0.00988615,0.00988615
25,102.69,1.41254,1.29203,1.27447,0.62788,0.5944,0.58298,0.25178,1.7424,1.42668,1.47762,0.0098812,0.0098812,0.0098812
26,106.677,1.44062,1.33364,1.27827,0.57501,0.51136,0.49469,0.21801,1.80541,1.65461,1.52072,0.00987625,0.00987625,0.00987625
27,110.767,1.41013,1.25971,1.26574,0.59475,0.61932,0.59424,0.27556,1.639,1.4267,1.41216,0.0098713,0.0098713,0.0098713
28,114.81,1.43263,1.33934,1.2795,0.5088,0.57386,0.52716,0.23651,1.66193,1.83528,1.44781,0.00986635,0.00986635,0.00986635
29,118.695,1.41674,1.2725,1.28233,0.58918,0.49432,0.49993,0.2082,1.76507,1.75787,1.51869,0.0098614,0.0098614,0.0098614
30,122.843,1.40124,1.22506,1.2635,0.52166,0.5205,0.52746,0.23687,1.71307,1.62977,1.50422,0.00985645,0.00985645,0.00985645
31,126.67,1.37377,1.24381,1.23407,0.63707,0.67614,0.64898,0.33813,1.53227,1.24996,1.36302,0.0098515,0.0098515,0.0098515
32,130.566,1.38021,1.22603,1.23962,0.53377,0.625,0.53121,0.2293,1.80964,1.65679,1.56356,0.00984655,0.00984655,0.00984655
33,134.437,1.34818,1.21454,1.2392,0.57284,0.67614,0.61435,0.29342,1.58409,1.47583,1.38477,0.0098416,0.0098416,0.0098416
34,138.294,1.38757,1.22885,1.23618,0.65495,0.65341,0.56502,0.28534,1.58464,1.8204,1.35341,0.00983665,0.00983665,0.00983665
35,142.189,1.37585,1.25692,1.23527,0.56273,0.59659,0.55703,0.26025,1.60939,1.73536,1.40992,0.0098317,0.0098317,0.0098317
36,146.024,1.36303,1.22761,1.24336,0.49981,0.52841,0.45249,0.19106,1.74974,2.51161,1.5013,0.00982675,0.00982675,0.00982675
37,149.823,1.36046,1.20327,1.2347,0.62892,0.5625,0.53716,0.23777,1.69361,2.27246,1.47246,0.0098218,0.0098218,0.0098218
38,153.909,1.35913,1.18945,1.23643,0.60118,0.57955,0.54245,0.2468,1.6773,1.71864,1.48282,0.00981685,0.00981685,0.00981685
39,157.918,1.33861,1.201,1.21198,0.61527,0.64205,0.65237,0.32806,1.54314,1.33657,1.39659,0.0098119,0.0098119,0.0098119
40,161.91,1.34841,1.17735,1.22365,0.67199,0.60227,0.60312,0.3025,1.60351,1.42894,1.39189,0.00980695,0.00980695,0.00980695
41,165.728,1.31536,1.19123,1.21616,0.62021,0.69886,0.61998,0.29199,1.62482,1.31035,1.4203,0.009802,0.009802,0.009802
42,169.539,1.29574,1.1108,1.21222,0.60719,0.7202,0.65721,0.32399,1.57217,1.24518,1.39126,0.00979705,0.00979705,0.00979705
43,173.368,1.32546,1.14118,1.21011,0.62457,0.69318,0.65341,0.32239,1.60844,1.249,1.43421,0.0097921,0.0097921,0.0097921
44,177.001,1.32117,1.12839,1.21015,0.59384,0.71023,0.66225,0.33681,1.56255,1.41523,1.38285,0.00978715,0.00978715,0.00978715
45,179.904,1.31389,1.11736,1.19284,0.71146,0.65845,0.67695,0.33412,1.53683,1.27214,1.36569,0.0097822,0.0097822,0.0097822
46,182.753,1.30941,1.12372,1.20798,0.70334,0.64661,0.68057,0.32953,1.55001,1.21408,1.38175,0.00977725,0.00977725,0.00977725
