epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5032,1.54959,3.44432,1.59352,0.38892,0.35795,0.29918,0.13458,1.65824,2.27012,1.61229,0.0032381,0.0032381,0.0032381
2,15.8066,1.32322,1.67567,1.36457,0.54744,0.61364,0.54855,0.28203,1.39733,2.00684,1.29796,0.00656818,0.00656818,0.00656818
3,20.8988,1.34554,1.73867,1.31593,0.31704,0.39773,0.29613,0.133,1.82474,1.98684,1.53657,0.00989496,0.00989496,0.00989496
4,26.0807,1.40416,1.7101,1.3244,0.35891,0.36899,0.31156,0.13853,1.77319,2.02726,1.56254,0.00998515,0.00998515,0.00998515
5,31.2223,1.43854,1.6376,1.36181,0.51016,0.50568,0.43509,0.18544,1.82873,2.36902,1.62352,0.0099802,0.0099802,0.0099802
6,36.3873,1.44902,1.6022,1.40612,0.25162,0.33523,0.17557,0.06974,2.08095,2.99207,1.9658,0.00997525,0.00997525,0.00997525
7,41.4966,1.46011,1.57433,1.40727,0.40484,0.46023,0.33258,0.14706,1.8156,2.63514,1.81255,0.0099703,0.0099703,0.0099703
8,46.4721,1.49358,1.56248,1.43631,0.37772,0.40341,0.31204,0.13151,1.92995,3.7722,1.82238,0.00996535,0.00996535,0.00996535
9,51.6963,1.47977,1.53275,1.44354,0.34773,0.5625,0.37765,0.15032,1.86366,3.72569,1.7934,0.0099604,0.0099604,0.0099604
10,56.8148,1.46085,1.50619,1.43546,0.3704,0.51811,0.34622,0.16054,1.743,2.75954,1.67837,0.00995545,0.00995545,0.00995545
11,62.1535,1.48491,1.50444,1.43224,0.51773,0.50568,0.41842,0.18103,1.84909,3.64161,1.70442,0.0099505,0.0099505,0.0099505
12,67.1624,1.48208,1.53098,1.4247,0.41972,0.5625,0.42028,0.19498,1.62906,1.81896,1.54196,0.00994555,0.00994555,0.00994555
13,71.979,1.42941,1.50782,1.40212,0.49888,0.55682,0.49426,0.24556,1.59673,1.71611,1.52637,0.0099406,0.0099406,0.0099406
14,76.9386,1.41394,1.46438,1.39676,0.51325,0.66502,0.54133,0.26397,1.60433,1.64284,1.50638,0.00993565,0.00993565,0.00993565
15,82.07,1.39617,1.45688,1.39071,0.50137,0.52273,0.42106,0.18266,1.76672,1.96397,1.67769,0.0099307,0.0099307,0.0099307
16,86.9964,1.3887,1.46451,1.37859,0.53652,0.61364,0.56277,0.26938,1.52478,1.72351,1.47175,0.00992575,0.00992575,0.00992575
17,92.2437,1.38713,1.43262,1.41219,0.59452,0.44318,0.51063,0.24028,1.62073,1.63113,1.50045,0.0099208,0.0099208,0.0099208
18,97.7113,1.39002,1.41074,1.39371,0.56446,0.60227,0.60254,0.30389,1.53938,1.49841,1.47652,0.00991585,0.00991585,0.00991585
