epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7755,2.47498,2.59303,2.23378,0.08351,0.13378,0.05108,0.01452,3.01419,7.71145,3.09386,0.000654762,0.000654762,0.000654762
2,16.0205,2.29626,2.22256,2.05171,0.20052,0.24767,0.14547,0.04957,2.56037,3.7097,2.75762,0.00131816,0.00131816,0.00131816
3,21.1384,2.29667,2.21424,2.0417,0.04715,0.11037,0.02677,0.00811,3.2184,6.4902,3.14492,0.00197825,0.00197825,0.00197825
4,26.1645,2.21472,2.15531,1.9962,0.1894,0.24498,0.1226,0.034,2.70357,3.11926,2.52688,0.00198515,0.00198515,0.00198515
5,31.3109,2.19244,2.14048,1.96282,0.20732,0.30602,0.14103,0.05014,2.4506,2.58033,2.31933,0.0019802,0.0019802,0.0019802
6,36.6743,2.13926,2.08162,1.922,0.29685,0.2893,0.19926,0.06571,2.41258,2.72376,2.23677,0.00197525,0.00197525,0.00197525
7,41.9726,2.10726,2.06822,1.90107,0.42914,0.3612,0.32224,0.12313,2.29426,2.21339,2.14195,0.0019703,0.0019703,0.0019703
8,47.1695,2.07691,2.03999,1.86945,0.45339,0.38712,0.36135,0.14356,2.23349,2.42505,2.13103,0.00196535,0.00196535,0.00196535
9,52.184,2.061,2.03004,1.86767,0.45939,0.29097,0.28088,0.10515,2.401,2.46974,2.24458,0.0019604,0.0019604,0.0019604
10,57.2597,2.05059,1.98826,1.86514,0.39149,0.3405,0.28997,0.09747,2.35059,2.20244,2.17067,0.00195545,0.00195545,0.00195545
11,62.3195,2.0101,1.95907,1.84488,0.606,0.39465,0.43152,0.1744,2.21283,2.15117,2.09555,0.0019505,0.0019505,0.0019505
12,67.4263,1.99675,1.92229,1.82154,0.32975,0.36371,0.22724,0.08432,2.17704,2.18788,2.11339,0.00194555,0.00194555,0.00194555
13,72.5474,1.99838,1.90612,1.80654,0.41865,0.32107,0.28685,0.08791,2.56901,2.33715,2.30822,0.0019406,0.0019406,0.0019406
14,77.4312,1.95181,1.88183,1.78697,0.5047,0.35535,0.32063,0.10892,2.34165,2.29599,2.19354,0.00193565,0.00193565,0.00193565
15,82.6606,1.93201,1.85238,1.76359,0.64383,0.43311,0.47034,0.2178,2.11757,1.93682,2.04995,0.0019307,0.0019307,0.0019307
16,87.7714,1.94745,1.82913,1.76925,0.23562,0.20987,0.11142,0.02364,3.07111,2.6612,2.7677,0.00192575,0.00192575,0.00192575
17,92.7907,1.88634,1.77617,1.72769,0.657,0.49498,0.51981,0.21692,2.17306,1.81953,2.11256,0.0019208,0.0019208,0.0019208
18,97.941,1.85604,1.7586,1.70899,0.50373,0.42224,0.40231,0.16478,2.20139,2.03946,2.07281,0.00191585,0.00191585,0.00191585
19,102.897,1.86333,1.77479,1.71899,0.32951,0.3311,0.22348,0.07762,2.33609,2.28555,2.18971,0.0019109,0.0019109,0.0019109
20,107.943,1.88075,1.79489,1.73627,0.47722,0.36957,0.32663,0.12135,2.24485,2.16318,2.072,0.00190595,0.00190595,0.00190595
21,112.933,1.8538,1.70884,1.6844,0.48183,0.36288,0.34975,0.151,2.21833,2.07475,2.12662,0.001901,0.001901,0.001901
22,117.88,1.82601,1.73068,1.69006,0.4561,0.34699,0.28434,0.08874,2.53301,2.19126,2.32971,0.00189605,0.00189605,0.00189605
23,122.88,1.80588,1.69927,1.66996,0.49983,0.37934,0.35479,0.12778,2.41707,2.24849,2.1902,0.0018911,0.0018911,0.0018911
24,127.886,1.7879,1.6643,1.64992,0.5556,0.40803,0.37921,0.13273,2.39035,2.07079,2.16431,0.00188615,0.00188615,0.00188615
25,132.824,1.78339,1.66256,1.64944,0.55837,0.39326,0.39833,0.14285,2.38145,2.04543,2.1783,0.0018812,0.0018812,0.0018812
26,138.028,1.76152,1.63015,1.63709,0.66543,0.45151,0.50531,0.24631,1.99358,1.83328,1.8849,0.00187625,0.00187625,0.00187625
27,142.972,1.73428,1.60008,1.61967,0.63268,0.4791,0.50816,0.21326,2.13095,1.76629,1.99421,0.0018713,0.0018713,0.0018713
28,147.931,1.72234,1.58094,1.60321,0.59353,0.48104,0.48182,0.20114,2.17062,1.79498,2.03272,0.00186635,0.00186635,0.00186635
29,152.925,1.77309,1.63121,1.6405,0.43254,0.3311,0.26832,0.07845,2.65051,2.34655,2.50499,0.0018614,0.0018614,0.0018614
30,157.937,1.76251,1.63708,1.64079,0.66488,0.4699,0.5209,0.21094,2.24248,1.8589,2.09741,0.00185645,0.00185645,0.00185645
31,163.05,1.7497,1.60948,1.62919,0.36629,0.35284,0.23481,0.0967,2.17217,2.14365,2.08319,0.0018515,0.0018515,0.0018515
32,167.988,1.72079,1.58867,1.6068,0.59471,0.41304,0.42147,0.17428,2.25363,1.92375,2.10423,0.00184655,0.00184655,0.00184655
33,172.921,1.71862,1.54526,1.59151,0.75533,0.5343,0.60656,0.30139,1.98925,1.6048,1.89952,0.0018416,0.0018416,0.0018416
34,178.134,1.7014,1.53356,1.58146,0.56217,0.38462,0.39891,0.13811,2.34992,1.92983,2.14606,0.00183665,0.00183665,0.00183665
35,183.116,1.68034,1.53989,1.57974,0.69372,0.49247,0.55504,0.23204,2.26967,1.81679,2.16871,0.0018317,0.0018317,0.0018317
36,188.103,1.71322,1.55719,1.58771,0.74322,0.51923,0.58947,0.30265,2.00098,1.58932,1.92268,0.00182675,0.00182675,0.00182675
37,193.221,1.65703,1.49605,1.55786,0.64472,0.48579,0.51781,0.22183,2.21379,1.76885,2.06761,0.0018218,0.0018218,0.0018218
38,198.11,1.69486,1.53399,1.57911,0.65,0.4791,0.4965,0.18033,2.37655,1.74772,2.23257,0.00181685,0.00181685,0.00181685
39,203.2,1.65734,1.51933,1.5642,0.63581,0.48913,0.54019,0.23144,2.18603,1.71592,2.02006,0.0018119,0.0018119,0.0018119
40,208.217,1.64939,1.48327,1.5538,0.76638,0.53344,0.61875,0.30215,2.05719,1.52438,2.00742,0.00180695,0.00180695,0.00180695
41,213.205,1.63219,1.44972,1.54062,0.65483,0.52926,0.56416,0.25289,2.0911,1.72142,1.95432,0.001802,0.001802,0.001802
42,218.247,1.6494,1.45292,1.54555,0.74978,0.51421,0.59311,0.28805,1.94915,1.61959,1.88292,0.00179705,0.00179705,0.00179705
43,223.231,1.62118,1.43657,1.53964,0.60876,0.37338,0.41892,0.15027,2.4912,2.04676,2.32735,0.0017921,0.0017921,0.0017921
44,228.301,1.65416,1.46916,1.55647,0.73035,0.45652,0.54701,0.22946,2.25613,1.68653,2.09432,0.00178715,0.00178715,0.00178715
45,233.562,1.6227,1.42606,1.52273,0.67873,0.43395,0.48427,0.1673,2.54484,1.78425,2.39584,0.0017822,0.0017822,0.0017822
46,239.055,1.67166,1.4778,1.55204,0.76442,0.5393,0.6227,0.33107,1.92573,1.51761,1.82819,0.00177725,0.00177725,0.00177725
47,244.303,1.63264,1.45146,1.5449,0.69124,0.52786,0.58868,0.24429,2.2376,1.61681,2.08493,0.0017723,0.0017723,0.0017723
48,249.384,1.57897,1.40031,1.49623,0.65635,0.51505,0.55696,0.26066,2.0917,1.59221,1.95271,0.00176735,0.00176735,0.00176735
49,254.393,1.60208,1.39854,1.51519,0.75161,0.47408,0.56146,0.23089,2.23495,1.73094,2.08771,0.0017624,0.0017624,0.0017624
50,259.627,1.58788,1.38471,1.49644,0.7405,0.4607,0.52882,0.19668,2.36532,1.7374,2.27787,0.00175745,0.00175745,0.00175745
51,264.703,1.59326,1.37935,1.5032,0.68826,0.44398,0.52267,0.23828,2.18406,1.71846,2.04444,0.0017525,0.0017525,0.0017525
52,269.701,1.59106,1.41149,1.51614,0.54142,0.38301,0.37008,0.13128,2.57366,2.05376,2.31776,0.00174755,0.00174755,0.00174755
