epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.947,1.80802,2.52563,2.32661,0.69045,0.69931,0.66855,0.44558,1.20255,1.57239,1.98459,0.0032381,0.0032381,0.0032381
2,23.5295,1.25286,1.34951,1.90057,0.83854,0.78522,0.84752,0.64576,1.22539,1.14087,1.87088,0.00656818,0.00656818,0.00656818
3,32.4814,1.20392,1.14787,1.83641,0.8882,0.79174,0.86821,0.6719,1.18292,1.06063,1.8108,0.00989496,0.00989496,0.00989496
4,41.0188,1.1784,1.10454,1.83128,0.89814,0.78351,0.8795,0.68665,1.16326,1.07249,1.81097,0.00998515,0.00998515,0.00998515
5,50.2115,1.11177,0.97257,1.74367,0.89093,0.79296,0.88629,0.70367,1.11389,0.98603,1.74403,0.0099802,0.0099802,0.0099802
6,58.794,1.08204,0.92816,1.72213,0.8976,0.7832,0.86953,0.68661,1.10703,0.97967,1.73102,0.00997525,0.00997525,0.00997525
7,67.266,1.05249,0.90455,1.72464,0.89841,0.79014,0.88237,0.69178,1.07928,0.99695,1.74058,0.0099703,0.0099703,0.0099703
8,75.6289,1.07291,0.89477,1.71205,0.89376,0.80946,0.88674,0.70748,1.07579,0.93618,1.68428,0.00996535,0.00996535,0.00996535
9,84.0943,1.02661,0.84337,1.67515,0.89347,0.80928,0.88849,0.70664,1.04404,0.97087,1.69272,0.0099604,0.0099604,0.0099604
10,92.4329,1.04099,0.85001,1.68724,0.8835,0.80584,0.88847,0.70408,1.06851,0.94416,1.69449,0.00995545,0.00995545,0.00995545
11,100.882,1.00711,0.81874,1.6535,0.90684,0.78351,0.88606,0.70371,1.05992,0.97018,1.67898,0.0099505,0.0099505,0.0099505
12,109.299,0.9854,0.77467,1.62291,0.8349,0.80326,0.86925,0.69484,1.06082,0.98213,1.68597,0.00994555,0.00994555,0.00994555
13,117.595,0.9851,0.78591,1.62836,0.90583,0.79467,0.88405,0.71022,1.0378,0.93624,1.6779,0.0099406,0.0099406,0.0099406
14,126.066,0.97028,0.76669,1.6111,0.88389,0.80584,0.89186,0.72294,1.03116,0.90139,1.68312,0.00993565,0.00993565,0.00993565
15,134.47,0.98616,0.76742,1.6246,0.89765,0.82131,0.90374,0.73697,1.02145,0.87819,1.64286,0.0099307,0.0099307,0.0099307
16,142.856,0.95645,0.7457,1.61064,0.89402,0.81889,0.89415,0.71792,1.03682,0.85972,1.67006,0.00992575,0.00992575,0.00992575
17,151.224,0.96262,0.74815,1.59732,0.92685,0.81641,0.91204,0.74036,1.00778,0.87184,1.65656,0.0099208,0.0099208,0.0099208
18,159.642,0.93454,0.71514,1.58355,0.88548,0.83695,0.90389,0.72447,1.05568,0.93766,1.69431,0.00991585,0.00991585,0.00991585
19,167.947,0.93104,0.72673,1.55299,0.87553,0.82388,0.89511,0.72254,1.04468,0.88075,1.66352,0.0099109,0.0099109,0.0099109
20,176.255,0.93378,0.72057,1.57381,0.88689,0.83247,0.90452,0.75205,0.99736,0.8559,1.65452,0.00990595,0.00990595,0.00990595
21,184.666,0.9296,0.70978,1.56906,0.89055,0.83591,0.91002,0.7591,0.97931,0.84261,1.62439,0.009901,0.009901,0.009901
22,193.018,0.93829,0.72354,1.59726,0.89337,0.83497,0.90246,0.73026,1.01055,0.88191,1.63392,0.00989605,0.00989605,0.00989605
23,201.378,0.91067,0.70447,1.55843,0.90382,0.83957,0.90461,0.74686,1.007,0.82087,1.62248,0.0098911,0.0098911,0.0098911
24,209.654,0.89595,0.69235,1.55224,0.8972,0.83677,0.9095,0.74558,1.02846,0.86019,1.62123,0.00988615,0.00988615,0.00988615
25,218.032,0.90253,0.68995,1.54902,0.90535,0.84638,0.91431,0.75178,1.00472,0.85352,1.63803,0.0098812,0.0098812,0.0098812
26,226.381,0.88377,0.66118,1.52639,0.90141,0.84044,0.90789,0.75088,1.01393,0.82589,1.62148,0.00987625,0.00987625,0.00987625
27,234.702,0.89448,0.6699,1.55988,0.89776,0.82732,0.90251,0.74664,0.97933,0.86782,1.60272,0.0098713,0.0098713,0.0098713
28,243.148,0.86193,0.64708,1.50439,0.88343,0.83419,0.90283,0.74979,0.97854,0.83035,1.61796,0.00986635,0.00986635,0.00986635
29,251.458,0.8579,0.64464,1.48795,0.91691,0.82481,0.91501,0.75616,0.97047,0.80902,1.58176,0.0098614,0.0098614,0.0098614
30,259.842,0.86583,0.65001,1.51675,0.92929,0.83076,0.91675,0.76306,0.94723,0.81628,1.57841,0.00985645,0.00985645,0.00985645
31,268.304,0.85337,0.64071,1.50296,0.9258,0.83677,0.9169,0.75898,0.96781,0.77965,1.55357,0.0098515,0.0098515,0.0098515
32,276.646,0.8808,0.66467,1.5158,0.89675,0.83763,0.91108,0.75336,0.92516,0.83286,1.56442,0.00984655,0.00984655,0.00984655
33,284.991,0.8371,0.6235,1.47748,0.9002,0.83691,0.91259,0.76846,0.96019,0.80275,1.56502,0.0098416,0.0098416,0.0098416
34,293.373,0.8541,0.63113,1.49762,0.90866,0.83758,0.91536,0.76893,0.97263,0.80728,1.57655,0.00983665,0.00983665,0.00983665
35,302.291,0.84087,0.61318,1.47214,0.87431,0.86053,0.90818,0.75133,0.95259,0.84374,1.62901,0.0098317,0.0098317,0.0098317
36,310.862,0.84726,0.62011,1.493,0.92307,0.80928,0.91037,0.75595,0.96273,0.81029,1.58154,0.00982675,0.00982675,0.00982675
37,319.395,0.83666,0.60592,1.47701,0.92639,0.82732,0.91549,0.76785,0.93893,0.77751,1.54859,0.0098218,0.0098218,0.0098218
38,328.018,0.84161,0.61419,1.48724,0.91812,0.84192,0.91238,0.76264,0.92375,0.80356,1.5803,0.00981685,0.00981685,0.00981685
