epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9341,2.36469,2.31684,2.1393,0.21684,0.15306,0.08982,0.02733,2.62869,2.7149,2.65274,0.00331429,0.00331429,0.00331429
2,42.4062,2.0066,1.9902,1.79137,0.11528,0.14815,0.06472,0.02097,2.62799,2.68377,2.45537,0.00663117,0.00663117,0.00663117
3,59.5834,2.00832,1.96851,1.75022,0.15357,0.17138,0.08525,0.02707,2.48425,2.70914,2.30138,0.00993155,0.00993155,0.00993155
4,76.3346,2.02598,1.96889,1.76071,0.25683,0.24017,0.16265,0.05247,2.38631,2.58362,2.21629,0.00992575,0.00992575,0.00992575
5,93.6751,2.01124,1.97119,1.75609,0.3449,0.23403,0.18367,0.06196,2.32656,2.64792,2.14359,0.009901,0.009901,0.009901
6,110.661,1.99419,1.94441,1.73522,0.33066,0.25983,0.19106,0.06623,2.30682,2.38946,2.06919,0.00987625,0.00987625,0.00987625
7,127.508,1.96395,1.90705,1.71102,0.31328,0.2973,0.23142,0.08733,2.24096,2.18378,2.01551,0.0098515,0.0098515,0.0098515
8,144.206,1.93581,1.89975,1.69864,0.4092,0.20455,0.18774,0.06664,2.30245,2.60604,2.06783,0.00982675,0.00982675,0.00982675
9,160.99,1.89413,1.85777,1.67764,0.3915,0.32371,0.27983,0.11061,2.08661,2.09138,1.99967,0.009802,0.009802,0.009802
10,178.234,1.89018,1.83879,1.6722,0.45784,0.36794,0.34319,0.13673,2.12509,1.99119,1.98876,0.00977725,0.00977725,0.00977725
11,194.648,1.88455,1.83538,1.6716,0.45303,0.30169,0.26978,0.10413,2.14276,2.20864,1.98992,0.0097525,0.0097525,0.0097525
12,211.627,1.85444,1.8144,1.65084,0.43146,0.23894,0.22168,0.09191,2.15663,2.28261,1.97696,0.00972775,0.00972775,0.00972775
13,228.553,1.84424,1.78821,1.64102,0.42408,0.34582,0.31825,0.12006,2.20129,2.10781,1.97415,0.009703,0.009703,0.009703
14,245.248,1.82907,1.76872,1.63414,0.38477,0.29914,0.26588,0.09796,2.26238,2.13392,2.02876,0.00967825,0.00967825,0.00967825
15,262.082,1.82918,1.75029,1.62799,0.26029,0.16585,0.094,0.03205,2.27006,2.90052,2.09375,0.0096535,0.0096535,0.0096535
16,279.417,1.79879,1.72206,1.61097,0.43337,0.30651,0.28989,0.10993,2.3076,2.20892,2.006,0.00962875,0.00962875,0.00962875
17,296.359,1.77601,1.69505,1.59,0.45867,0.2801,0.23673,0.10065,2.13163,2.25724,1.99434,0.009604,0.009604,0.009604
18,313.412,1.71477,1.64541,1.56564,0.45214,0.3285,0.32232,0.11738,2.28129,2.01396,2.0606,0.00957925,0.00957925,0.00957925
19,328.686,1.75933,1.66805,1.58482,0.55011,0.38329,0.40998,0.16532,2.10481,1.93535,1.88841,0.0095545,0.0095545,0.0095545
20,341.952,1.72785,1.63017,1.55957,0.55493,0.37162,0.39227,0.15167,2.14979,1.85479,1.91119,0.00952975,0.00952975,0.00952975
21,354.701,1.71215,1.60338,1.55456,0.32295,0.2511,0.18999,0.05551,2.56432,2.28941,2.2369,0.009505,0.009505,0.009505
22,367.561,1.71296,1.61493,1.54848,0.39756,0.34828,0.291,0.12155,2.09854,1.99934,1.92343,0.00948025,0.00948025,0.00948025
23,380.238,1.69863,1.60801,1.54629,0.56832,0.35825,0.38204,0.14371,2.23071,1.92621,1.97236,0.0094555,0.0094555,0.0094555
24,393.545,1.70188,1.58687,1.5402,0.57392,0.39797,0.41073,0.14634,2.37005,1.98831,2.08125,0.00943075,0.00943075,0.00943075
25,412.189,1.68462,1.57291,1.5273,0.65868,0.41953,0.47986,0.19523,2.14054,1.75133,1.90907,0.009406,0.009406,0.009406
26,433.048,1.6433,1.53464,1.50411,0.56791,0.39317,0.41751,0.15986,2.3121,1.8223,2.0786,0.00938125,0.00938125,0.00938125
27,454.146,1.67111,1.54749,1.51735,0.37967,0.32069,0.24595,0.07848,2.37721,2.04303,2.13307,0.0093565,0.0093565,0.0093565
28,474.581,1.64972,1.53404,1.51097,0.42474,0.32187,0.28871,0.11078,2.1511,2.01272,2.00866,0.00933175,0.00933175,0.00933175
29,496.419,1.64263,1.53137,1.50982,0.65008,0.41769,0.46906,0.18768,2.18791,1.79554,1.97061,0.009307,0.009307,0.009307
30,516.965,1.63118,1.52351,1.50773,0.66123,0.4436,0.5048,0.21935,2.06931,1.67541,1.88979,0.00928225,0.00928225,0.00928225
31,538.246,1.61813,1.51164,1.49738,0.59037,0.39803,0.43601,0.1759,2.26374,1.77467,2.02625,0.0092575,0.0092575,0.0092575
32,559.468,1.62447,1.50547,1.50074,0.61629,0.40971,0.42414,0.17474,2.18057,1.8336,1.97465,0.00923275,0.00923275,0.00923275
33,580.716,1.63236,1.51526,1.5032,0.51865,0.38718,0.34931,0.10868,2.51316,1.97466,2.26,0.009208,0.009208,0.009208
34,601.762,1.62063,1.48441,1.48831,0.55961,0.4168,0.39407,0.14469,2.31125,1.96517,2.0661,0.00918325,0.00918325,0.00918325
35,622.902,1.6071,1.46788,1.48356,0.656,0.40764,0.47391,0.22375,2.01222,1.72716,1.82016,0.0091585,0.0091585,0.0091585
36,643.88,1.60029,1.46984,1.47506,0.6509,0.45086,0.49203,0.19814,2.18634,1.7052,1.96044,0.00913375,0.00913375,0.00913375
37,665.72,1.58844,1.44311,1.46838,0.51036,0.35872,0.37074,0.14692,2.33438,1.88231,2.06636,0.009109,0.009109,0.009109
38,687.272,1.5838,1.46414,1.4718,0.58181,0.44656,0.47254,0.20534,2.05905,1.71951,1.85859,0.00908425,0.00908425,0.00908425
39,708.558,1.57139,1.44534,1.46331,0.60831,0.41093,0.45123,0.1685,2.20419,1.75673,1.97256,0.0090595,0.0090595,0.0090595
40,730.585,1.59372,1.4459,1.47194,0.53985,0.3769,0.38244,0.15613,2.19913,1.85812,1.94565,0.00903475,0.00903475,0.00903475
41,751.972,1.5589,1.43246,1.46091,0.49794,0.34828,0.34524,0.1263,2.23432,1.95406,2.0198,0.00901,0.00901,0.00901
42,773.36,1.56889,1.42926,1.45947,0.69701,0.44595,0.50752,0.23275,2.04133,1.63311,1.85421,0.00898525,0.00898525,0.00898525
43,794.942,1.5312,1.39399,1.43391,0.72247,0.49754,0.56792,0.2529,2.07076,1.49273,1.89121,0.0089605,0.0089605,0.0089605
44,816.052,1.55283,1.40906,1.45392,0.65318,0.45332,0.49976,0.20002,2.22817,1.67828,2.02268,0.00893575,0.00893575,0.00893575
