epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.522,1.54222,1.66458,1.4971,0.46046,0.52085,0.38458,0.24301,1.32052,1.45121,1.29754,0.00331439,0.00331439,0.00331439
2,32.1815,1.24233,1.0989,1.23477,0.5781,0.45675,0.49613,0.31186,1.4433,1.61597,1.45501,0.00664444,0.00664444,0.00664444
3,44.585,1.25791,1.09967,1.22223,0.79021,0.6188,0.70136,0.4587,1.29014,1.05604,1.29035,0.00997118,0.00997118,0.00997118
4,56.5084,1.31329,1.13816,1.25775,0.49467,0.49035,0.4276,0.23695,1.66163,1.82862,1.58706,0.00998515,0.00998515,0.00998515
5,69.3723,1.2995,1.13141,1.24647,0.73286,0.51525,0.60981,0.39081,1.30737,1.30116,1.3084,0.0099802,0.0099802,0.0099802
6,82.2352,1.27112,1.09068,1.2325,0.79779,0.60643,0.70161,0.48654,1.22886,1.05838,1.26163,0.00997525,0.00997525,0.00997525
7,94.8337,1.26943,1.06815,1.23468,0.78921,0.64779,0.71312,0.48214,1.21968,1.00195,1.25636,0.0099703,0.0099703,0.0099703
8,107.231,1.25161,1.05164,1.22399,0.78285,0.54325,0.62118,0.44136,1.2811,1.36572,1.29982,0.00996535,0.00996535,0.00996535
9,119.273,1.23935,1.03568,1.21678,0.76478,0.5837,0.66992,0.45005,1.27699,1.20686,1.27395,0.0099604,0.0099604,0.0099604
10,131.548,1.22776,1.01592,1.21013,0.83497,0.6565,0.74894,0.523,1.17777,0.92024,1.24244,0.00995545,0.00995545,0.00995545
11,144.443,1.2237,1.00986,1.21062,0.78622,0.69135,0.7532,0.51662,1.19837,0.98033,1.24471,0.0099505,0.0099505,0.0099505
12,156.917,1.20562,1.00269,1.20502,0.74969,0.56067,0.63907,0.42922,1.25285,1.27087,1.25387,0.00994555,0.00994555,0.00994555
13,169.136,1.20197,0.98895,1.1973,0.67463,0.55351,0.59972,0.4074,1.24635,1.32412,1.24518,0.0099406,0.0099406,0.0099406
14,181.24,1.19987,0.9876,1.19681,0.82137,0.66086,0.74215,0.52104,1.14947,0.95601,1.20589,0.00993565,0.00993565,0.00993565
15,193.571,1.18653,0.96565,1.18772,0.85117,0.68015,0.78269,0.55098,1.16055,0.85886,1.22328,0.0099307,0.0099307,0.0099307
16,206.652,1.17448,0.96266,1.18486,0.78153,0.64779,0.72578,0.49005,1.22221,1.01414,1.2354,0.00992575,0.00992575,0.00992575
17,219.064,1.15915,0.94452,1.17912,0.79008,0.64841,0.72856,0.51433,1.16115,1.00173,1.20995,0.0099208,0.0099208,0.0099208
18,231.832,1.17828,0.95447,1.19457,0.85083,0.66024,0.76937,0.54454,1.13743,0.89222,1.19354,0.00991585,0.00991585,0.00991585
19,244.024,1.16151,0.94012,1.17868,0.83885,0.66335,0.76987,0.54703,1.12391,0.86715,1.20826,0.0099109,0.0099109,0.0099109
20,255.96,1.17356,0.95196,1.18649,0.84327,0.69571,0.77961,0.55077,1.13691,0.86138,1.20523,0.00990595,0.00990595,0.00990595
21,269.034,1.14675,0.92845,1.17438,0.82778,0.68194,0.7663,0.53819,1.1388,0.89216,1.21193,0.009901,0.009901,0.009901
22,281.219,1.15368,0.92363,1.17407,0.85171,0.65588,0.76344,0.53478,1.14097,0.90959,1.19812,0.00989605,0.00989605,0.00989605
