epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.777,1.78732,2.54913,1.62991,0.64645,0.55998,0.59024,0.41733,1.20188,1.4268,1.28015,0.0027,0.0027,0.0027
2,21.1262,1.21269,1.29967,1.21271,0.72533,0.62967,0.6874,0.49708,1.14434,1.11221,1.21351,0.00549728,0.00549728,0.00549728
3,28.4394,1.17596,1.2574,1.1823,0.63078,0.60677,0.64841,0.45575,1.08352,1.2805,1.14269,0.00829178,0.00829178,0.00829178
4,35.7854,1.23838,1.22231,1.19525,0.77304,0.61424,0.70721,0.49316,1.18034,1.17182,1.17295,0.00998515,0.00998515,0.00998515
5,42.9643,1.19053,1.089,1.16753,0.80308,0.63788,0.74416,0.54469,1.05158,1.16664,1.15,0.0099802,0.0099802,0.0099802
6,50.251,1.18196,1.06537,1.16701,0.82081,0.66874,0.77444,0.57443,1.03331,0.88506,1.13391,0.00997525,0.00997525,0.00997525
7,57.4304,1.15703,0.99442,1.16885,0.83987,0.68492,0.78674,0.56023,1.11985,0.89837,1.1725,0.0099703,0.0099703,0.0099703
8,64.6246,1.15835,0.96623,1.14832,0.73631,0.56221,0.64341,0.4588,1.11246,1.35317,1.17975,0.00996535,0.00996535,0.00996535
9,71.8362,1.12366,0.9496,1.12791,0.81707,0.67812,0.77553,0.57454,1.04836,0.88895,1.13476,0.0099604,0.0099604,0.0099604
10,79.0086,1.12375,0.8863,1.13355,0.84136,0.64783,0.76065,0.56498,1.07024,0.90402,1.16071,0.00995545,0.00995545,0.00995545
11,86.1982,1.11779,0.87359,1.13484,0.83405,0.62842,0.73791,0.5358,1.10878,1.03917,1.18672,0.0099505,0.0099505,0.0099505
12,93.2628,1.07866,0.88938,1.12145,0.83632,0.66775,0.77986,0.58392,1.04708,0.85061,1.13625,0.00994555,0.00994555,0.00994555
13,100.401,1.06789,0.86531,1.12653,0.84159,0.68766,0.78508,0.57112,1.05198,0.86419,1.14964,0.0099406,0.0099406,0.0099406
14,107.498,1.0724,0.81453,1.10509,0.85862,0.69073,0.80007,0.6042,1.01264,0.80651,1.12169,0.00993565,0.00993565,0.00993565
15,114.584,1.04776,0.82783,1.11055,0.85591,0.70981,0.81128,0.5501,1.21174,0.80026,1.20601,0.0099307,0.0099307,0.0099307
16,121.734,1.08486,0.80085,1.12225,0.85314,0.72722,0.82134,0.6268,0.95448,0.74908,1.09512,0.00992575,0.00992575,0.00992575
17,128.901,1.01439,0.77708,1.08663,0.8246,0.69811,0.79508,0.57735,1.05887,0.91885,1.13603,0.0099208,0.0099208,0.0099208
18,135.994,1.02287,0.80062,1.09518,0.8738,0.68586,0.80212,0.60164,1.01676,0.80102,1.12739,0.00991585,0.00991585,0.00991585
19,143.123,1.00452,0.75524,1.07794,0.85786,0.70895,0.80389,0.58912,1.06377,0.79703,1.14915,0.0099109,0.0099109,0.0099109
20,150.118,1.00884,0.75242,1.0908,0.84087,0.70732,0.8062,0.60921,0.99381,0.79254,1.11693,0.00990595,0.00990595,0.00990595
21,157.243,1.00016,0.75781,1.07864,0.78821,0.67969,0.75745,0.52771,1.20612,0.92244,1.20807,0.009901,0.009901,0.009901
22,164.272,0.98594,0.74886,1.08479,0.80969,0.71802,0.7968,0.58625,1.05159,0.81493,1.1558,0.00989605,0.00989605,0.00989605
23,171.303,1.01374,0.78296,1.08614,0.86888,0.72565,0.82374,0.61684,1.00292,0.74818,1.11252,0.0098911,0.0098911,0.0098911
24,178.354,0.977,0.72053,1.06336,0.83457,0.71254,0.8055,0.58079,1.07489,0.82253,1.13743,0.00988615,0.00988615,0.00988615
25,185.446,1.0007,0.74485,1.08059,0.86423,0.72822,0.81546,0.60919,1.02067,0.75592,1.13252,0.0098812,0.0098812,0.0098812
26,192.586,0.96525,0.71355,1.0604,0.87631,0.71762,0.82106,0.61284,0.99502,0.74957,1.10672,0.00987625,0.00987625,0.00987625
27,199.643,0.97319,0.73093,1.07319,0.82234,0.70387,0.79364,0.59385,1.00507,0.8186,1.12596,0.0098713,0.0098713,0.0098713
28,206.818,0.96999,0.71425,1.0727,0.87076,0.69736,0.80519,0.60515,1.00964,0.78077,1.14473,0.00986635,0.00986635,0.00986635
29,213.93,0.97136,0.71132,1.05572,0.88304,0.74406,0.84133,0.63284,0.97494,0.70878,1.10463,0.0098614,0.0098614,0.0098614
30,221.037,0.96031,0.71089,1.05998,0.85395,0.73644,0.81849,0.62221,1.00147,0.75589,1.1218,0.00985645,0.00985645,0.00985645
31,228.151,0.93694,0.70521,1.0584,0.784,0.58487,0.6789,0.49771,1.15605,1.34043,1.241,0.0098515,0.0098515,0.0098515
32,235.279,0.93931,0.6733,1.04657,0.86763,0.70483,0.80984,0.5951,1.05152,0.76334,1.15691,0.00984655,0.00984655,0.00984655
33,242.338,0.95196,0.68266,1.0426,0.8863,0.71008,0.82159,0.62982,0.96037,0.7239,1.10776,0.0098416,0.0098416,0.0098416
34,249.357,0.96217,0.68693,1.05421,0.88125,0.71279,0.81956,0.62769,0.97733,0.77024,1.1161,0.00983665,0.00983665,0.00983665
35,256.419,0.92803,0.66892,1.04482,0.78102,0.59881,0.68782,0.49684,1.15671,1.16809,1.24032,0.0098317,0.0098317,0.0098317
36,263.496,0.94044,0.66668,1.04708,0.86746,0.72797,0.81785,0.61579,0.9906,0.7312,1.12208,0.00982675,0.00982675,0.00982675
37,270.498,0.92742,0.66838,1.04184,0.8519,0.75187,0.83049,0.62885,0.96172,0.70292,1.1131,0.0098218,0.0098218,0.0098218
38,277.628,0.9084,0.65004,1.03098,0.8194,0.7108,0.79612,0.59758,1.00985,0.8259,1.13098,0.00981685,0.00981685,0.00981685
39,284.674,0.92277,0.6651,1.03782,0.85982,0.72205,0.81509,0.62434,0.97817,0.78131,1.11326,0.0098119,0.0098119,0.0098119
40,291.67,0.89836,0.64556,1.02797,0.87551,0.72499,0.82233,0.62948,0.95306,0.72838,1.11613,0.00980695,0.00980695,0.00980695
41,298.748,0.90942,0.63879,1.02404,0.85814,0.72418,0.82056,0.63236,0.93585,0.73105,1.09214,0.009802,0.009802,0.009802
42,305.748,0.89036,0.62692,1.017,0.87632,0.73003,0.83525,0.62977,0.97666,0.73067,1.10968,0.00979705,0.00979705,0.00979705
43,312.787,0.9139,0.62953,1.02908,0.85167,0.70408,0.80078,0.58006,1.10305,0.79636,1.18196,0.0097921,0.0097921,0.0097921
44,319.806,0.87932,0.62049,1.02328,0.8439,0.70956,0.80324,0.61713,0.96147,0.7614,1.11537,0.00978715,0.00978715,0.00978715
45,326.894,0.87806,0.63185,1.01164,0.8595,0.73221,0.81772,0.62301,0.95934,0.71445,1.11865,0.0097822,0.0097822,0.0097822
46,333.925,0.90412,0.6112,1.03108,0.8607,0.7258,0.81022,0.62145,0.96902,0.73961,1.11654,0.00977725,0.00977725,0.00977725
47,340.95,0.89035,0.6209,1.01845,0.86453,0.73245,0.82861,0.63917,0.95093,0.71011,1.11176,0.0097723,0.0097723,0.0097723
48,348.071,0.8819,0.61153,1.00684,0.87785,0.75436,0.83906,0.63505,0.98068,0.68438,1.11536,0.00976735,0.00976735,0.00976735
49,355.155,0.87674,0.60467,1.01528,0.83947,0.71844,0.80503,0.62,0.9637,0.73586,1.11714,0.0097624,0.0097624,0.0097624
50,362.215,0.86396,0.56615,1.00166,0.88031,0.73146,0.82398,0.63833,0.93164,0.68368,1.09964,0.00975745,0.00975745,0.00975745
51,369.262,0.85258,0.59596,1.00665,0.87444,0.73316,0.81689,0.63483,0.94064,0.76582,1.10322,0.0097525,0.0097525,0.0097525
52,376.381,0.85995,0.59743,1.00003,0.86519,0.74116,0.82503,0.63633,0.9299,0.6979,1.09069,0.00974755,0.00974755,0.00974755
53,383.423,0.86026,0.58762,1.00436,0.87674,0.74838,0.8294,0.63228,0.95586,0.69178,1.1072,0.0097426,0.0097426,0.0097426
54,390.545,0.87655,0.58116,1.00971,0.85513,0.73245,0.81677,0.63076,0.95626,0.76524,1.11663,0.00973765,0.00973765,0.00973765
55,397.692,0.84031,0.56456,0.99253,0.8859,0.74515,0.8363,0.64251,0.93034,0.68117,1.10111,0.0097327,0.0097327,0.0097327
56,404.82,0.84867,0.56378,0.99733,0.86626,0.74639,0.83425,0.63907,0.96255,0.68483,1.11634,0.00972775,0.00972775,0.00972775
57,411.943,0.84305,0.57293,0.998,0.84556,0.73619,0.81633,0.61514,1.01728,0.78356,1.14426,0.0097228,0.0097228,0.0097228
58,419.014,0.85021,0.54861,0.99222,0.87374,0.71603,0.81557,0.61837,0.99923,0.76778,1.14109,0.00971785,0.00971785,0.00971785
59,426.06,0.83657,0.56607,0.99011,0.85517,0.72997,0.81061,0.63431,0.91227,0.74893,1.09553,0.0097129,0.0097129,0.0097129
60,433.069,0.82483,0.55763,0.98926,0.86408,0.75884,0.83072,0.64231,0.92149,0.67712,1.09528,0.00970795,0.00970795,0.00970795
61,440.144,0.83322,0.56028,0.9894,0.87383,0.74938,0.83868,0.65125,0.92589,0.66151,1.10483,0.009703,0.009703,0.009703
62,447.298,0.83048,0.53642,0.98425,0.87625,0.76456,0.8399,0.64823,0.93721,0.65585,1.10183,0.00969805,0.00969805,0.00969805
63,454.394,0.8148,0.52942,0.98036,0.85597,0.75585,0.83321,0.63506,0.9391,0.69072,1.11002,0.0096931,0.0096931,0.0096931
64,461.445,0.81144,0.54243,0.97832,0.85273,0.76132,0.8309,0.64685,0.92741,0.68382,1.10842,0.00968815,0.00968815,0.00968815
65,468.587,0.8186,0.52486,0.97742,0.87635,0.74792,0.83883,0.64932,0.92442,0.66653,1.11166,0.0096832,0.0096832,0.0096832
66,475.719,0.80682,0.52083,0.97843,0.87459,0.75674,0.84153,0.64235,0.939,0.66214,1.10219,0.00967825,0.00967825,0.00967825
67,482.826,0.80561,0.51981,0.97332,0.89172,0.72175,0.82708,0.64586,0.91679,0.74141,1.10492,0.0096733,0.0096733,0.0096733
68,489.937,0.79737,0.53032,0.97584,0.8794,0.7551,0.84292,0.65773,0.91959,0.66715,1.09401,0.00966835,0.00966835,0.00966835
69,497.064,0.78217,0.5103,0.96775,0.88756,0.7485,0.83451,0.65295,0.91361,0.68714,1.09113,0.0096634,0.0096634,0.0096634
70,504.184,0.80536,0.51921,0.97508,0.8467,0.76556,0.83053,0.63202,0.96003,0.69904,1.12379,0.00965845,0.00965845,0.00965845
71,511.3,0.80787,0.53377,0.98027,0.86742,0.7546,0.8282,0.65067,0.91487,0.65741,1.10053,0.0096535,0.0096535,0.0096535
72,518.434,0.80997,0.51815,0.97392,0.88413,0.74191,0.82656,0.63862,0.94705,0.68972,1.1031,0.00964855,0.00964855,0.00964855
73,525.523,0.77678,0.51174,0.95746,0.89314,0.74714,0.83441,0.64817,0.93525,0.70303,1.0937,0.0096436,0.0096436,0.0096436
74,532.632,0.76832,0.50927,0.9569,0.85859,0.74045,0.82294,0.6345,0.94762,0.70789,1.11555,0.00963865,0.00963865,0.00963865
75,539.761,0.78114,0.4928,0.96125,0.87437,0.74042,0.82909,0.6388,0.95477,0.69468,1.12101,0.0096337,0.0096337,0.0096337
76,546.784,0.76953,0.49841,0.96266,0.87491,0.75137,0.83463,0.63828,0.95401,0.68829,1.10633,0.00962875,0.00962875,0.00962875
77,553.912,0.75756,0.49064,0.95273,0.8683,0.74938,0.83241,0.63316,0.97932,0.70582,1.11624,0.0096238,0.0096238,0.0096238
78,561.025,0.76365,0.49822,0.96178,0.87585,0.74042,0.82736,0.64453,0.92615,0.67221,1.10832,0.00961885,0.00961885,0.00961885
79,568.156,0.77179,0.50213,0.9585,0.86676,0.7546,0.83447,0.65034,0.90705,0.66829,1.09725,0.0096139,0.0096139,0.0096139
80,575.232,0.75984,0.50477,0.95833,0.8753,0.73198,0.817,0.63593,0.92986,0.74551,1.11275,0.00960895,0.00960895,0.00960895
81,582.447,0.75719,0.50999,0.95566,0.88557,0.75306,0.82782,0.64117,0.92854,0.67117,1.10557,0.009604,0.009604,0.009604
82,589.536,0.76177,0.48443,0.9546,0.87525,0.75809,0.83541,0.65119,0.91539,0.65869,1.10457,0.00959905,0.00959905,0.00959905
83,596.576,0.76254,0.48387,0.95404,0.88479,0.75834,0.83446,0.65114,0.93058,0.65292,1.11381,0.0095941,0.0095941,0.0095941
84,603.648,0.75428,0.47876,0.95002,0.86389,0.75193,0.82383,0.64938,0.91328,0.70311,1.10305,0.00958915,0.00958915,0.00958915
85,610.742,0.75293,0.4794,0.95451,0.88318,0.75448,0.838,0.6605,0.91078,0.64479,1.09966,0.0095842,0.0095842,0.0095842
86,617.792,0.73086,0.48633,0.94989,0.86264,0.73046,0.81427,0.63097,0.94221,0.72139,1.11148,0.00957925,0.00957925,0.00957925
87,624.887,0.75745,0.50001,0.95491,0.86084,0.75635,0.83475,0.64021,0.95332,0.66841,1.10682,0.0095743,0.0095743,0.0095743
88,631.894,0.73875,0.48378,0.94677,0.8881,0.76456,0.8393,0.65599,0.91858,0.65137,1.10359,0.00956935,0.00956935,0.00956935
89,638.981,0.76113,0.48465,0.95566,0.86887,0.75535,0.83371,0.64677,0.92961,0.65154,1.10798,0.0095644,0.0095644,0.0095644
90,646.09,0.73802,0.47561,0.9372,0.87019,0.75913,0.83838,0.66195,0.89438,0.65067,1.10347,0.00955945,0.00955945,0.00955945
91,653.325,0.73424,0.4728,0.94432,0.90016,0.74316,0.83708,0.64779,0.92281,0.65943,1.11017,0.0095545,0.0095545,0.0095545
92,660.41,0.74188,0.48582,0.9491,0.88797,0.75958,0.84207,0.65768,0.89384,0.6333,1.08764,0.00954955,0.00954955,0.00954955
93,667.525,0.72968,0.46845,0.93761,0.8795,0.76292,0.84269,0.65524,0.91773,0.65143,1.10436,0.0095446,0.0095446,0.0095446
94,674.566,0.74063,0.48654,0.95237,0.88418,0.75336,0.83463,0.64672,0.91433,0.65699,1.10434,0.00953965,0.00953965,0.00953965
95,681.673,0.72004,0.46352,0.93296,0.8764,0.76942,0.84193,0.65429,0.91323,0.63314,1.09722,0.0095347,0.0095347,0.0095347
96,688.748,0.73699,0.47382,0.94366,0.89313,0.76544,0.84526,0.66362,0.88882,0.62982,1.09345,0.00952975,0.00952975,0.00952975
97,695.851,0.72937,0.47184,0.94413,0.8898,0.76207,0.8462,0.65931,0.89725,0.62746,1.1011,0.0095248,0.0095248,0.0095248
98,702.879,0.70783,0.45848,0.93487,0.87922,0.77182,0.84398,0.66662,0.88408,0.62511,1.09594,0.00951985,0.00951985,0.00951985
99,710.076,0.71405,0.46057,0.93112,0.89364,0.7465,0.83301,0.64976,0.91143,0.67664,1.10445,0.0095149,0.0095149,0.0095149
100,717.248,0.69651,0.46209,0.92479,0.88213,0.76552,0.84156,0.65701,0.90685,0.63676,1.09786,0.00950995,0.00950995,0.00950995
101,724.333,0.69547,0.45012,0.92711,0.87386,0.76726,0.84031,0.65735,0.89668,0.62345,1.09596,0.009505,0.009505,0.009505
102,731.497,0.71688,0.45771,0.93544,0.89015,0.75627,0.84095,0.65919,0.89273,0.63869,1.10054,0.00950005,0.00950005,0.00950005
103,738.582,0.69169,0.43723,0.92115,0.88346,0.75112,0.82613,0.64917,0.90603,0.68886,1.10885,0.0094951,0.0094951,0.0094951
104,745.75,0.69616,0.44863,0.92582,0.87931,0.76257,0.83698,0.65563,0.89217,0.64829,1.10573,0.00949015,0.00949015,0.00949015
105,752.787,0.69906,0.44028,0.92798,0.87165,0.74465,0.82324,0.64334,0.92314,0.71347,1.1149,0.0094852,0.0094852,0.0094852
106,759.906,0.71459,0.4548,0.93296,0.88269,0.76979,0.83996,0.6652,0.87983,0.64284,1.08384,0.00948025,0.00948025,0.00948025
107,766.985,0.68323,0.43562,0.92551,0.87231,0.75491,0.82524,0.65399,0.88605,0.67461,1.09043,0.0094753,0.0094753,0.0094753
108,774.029,0.68824,0.42923,0.92766,0.89382,0.75211,0.83709,0.66024,0.88835,0.63177,1.10134,0.00947035,0.00947035,0.00947035
109,781.102,0.68223,0.43173,0.92311,0.88611,0.75137,0.82953,0.64319,0.9247,0.65261,1.10761,0.0094654,0.0094654,0.0094654
110,788.213,0.68259,0.42748,0.91542,0.88318,0.77148,0.84081,0.66031,0.87998,0.62154,1.09323,0.00946045,0.00946045,0.00946045
111,795.28,0.69111,0.44882,0.92865,0.89042,0.76241,0.84272,0.66211,0.88914,0.62251,1.08884,0.0094555,0.0094555,0.0094555
112,802.378,0.70321,0.44256,0.93025,0.88723,0.76605,0.84082,0.65886,0.898,0.63908,1.09258,0.00945055,0.00945055,0.00945055
