epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4264,1.94816,2.03551,2.42931,0.72159,0.65803,0.7117,0.44197,1.39383,1.15321,2.02947,0.00331439,0.00331439,0.00331439
2,32.2482,1.45976,1.19185,2.07455,0.78051,0.68819,0.75928,0.5058,1.26424,1.03149,1.83586,0.00664444,0.00664444,0.00664444
3,45.1002,1.32778,1.07293,1.96405,0.81549,0.69322,0.77849,0.51876,1.23328,0.95631,1.81725,0.00997118,0.00997118,0.00997118
4,56.8417,1.31042,1.06269,1.96001,0.81217,0.66895,0.7615,0.50528,1.25571,1.06343,1.8177,0.00998515,0.00998515,0.00998515
5,69.0903,1.27845,1.03293,1.94942,0.80199,0.68556,0.76258,0.5058,1.2456,1.0104,1.81725,0.0099802,0.0099802,0.0099802
6,82.3725,1.2529,1.00649,1.91952,0.78626,0.68451,0.76628,0.51579,1.24748,0.9775,1.78965,0.00997525,0.00997525,0.00997525
7,94.9066,1.23661,0.98606,1.91194,0.8297,0.72433,0.80568,0.55522,1.19271,0.91942,1.75033,0.0099703,0.0099703,0.0099703
8,107.93,1.22282,0.9774,1.91346,0.84692,0.7092,0.79439,0.5459,1.2115,0.94815,1.76705,0.00996535,0.00996535,0.00996535
9,121.175,1.20168,0.94896,1.89185,0.85652,0.68721,0.7747,0.53258,1.22341,0.98449,1.79046,0.0099604,0.0099604,0.0099604
10,133.261,1.19574,0.94683,1.87544,0.84438,0.69571,0.79736,0.55602,1.18276,0.93392,1.71659,0.00995545,0.00995545,0.00995545
11,145.618,1.19159,0.93795,1.88249,0.82402,0.69322,0.78295,0.53514,1.22678,0.96871,1.77609,0.0099505,0.0099505,0.0099505
12,157.79,1.18066,0.94516,1.86718,0.8411,0.6917,0.79441,0.55172,1.16263,0.93684,1.71939,0.00994555,0.00994555,0.00994555
13,170.288,1.16977,0.93129,1.86029,0.83043,0.66584,0.76133,0.52442,1.19792,1.03369,1.74879,0.0099406,0.0099406,0.0099406
14,183.382,1.15921,0.92717,1.86181,0.849,0.70566,0.80486,0.56337,1.16433,0.90428,1.73772,0.00993565,0.00993565,0.00993565
15,195.799,1.13982,0.90757,1.83207,0.86872,0.6982,0.80827,0.56574,1.15372,0.90266,1.72325,0.0099307,0.0099307,0.0099307
16,209.113,1.14424,0.9094,1.83724,0.81022,0.70442,0.78487,0.5423,1.18055,0.94619,1.7269,0.00992575,0.00992575,0.00992575
17,221.654,1.12728,0.89523,1.83052,0.81917,0.71601,0.79942,0.55962,1.13302,0.92438,1.73542,0.0099208,0.0099208,0.0099208
18,233.704,1.14276,0.90219,1.84373,0.83915,0.73429,0.81855,0.58206,1.10769,0.85635,1.68171,0.00991585,0.00991585,0.00991585
19,245.933,1.12958,0.90439,1.8349,0.82961,0.69987,0.79494,0.56209,1.13296,0.92143,1.7303,0.0099109,0.0099109,0.0099109
20,258.295,1.13702,0.90268,1.83851,0.84163,0.71064,0.80735,0.56752,1.13721,0.89055,1.6929,0.00990595,0.00990595,0.00990595
21,271.198,1.11317,0.88889,1.81931,0.82698,0.73304,0.81079,0.57366,1.11247,0.85302,1.71386,0.009901,0.009901,0.009901
22,284.82,1.1204,0.88294,1.82593,0.81738,0.66833,0.75575,0.52734,1.22044,1.02513,1.7803,0.00989605,0.00989605,0.00989605
23,297.153,1.11648,0.87864,1.81381,0.8561,0.69259,0.79731,0.55985,1.1451,0.89022,1.70132,0.0098911,0.0098911,0.0098911
24,310.034,1.10593,0.88052,1.82401,0.83889,0.70959,0.80209,0.56951,1.11132,0.91672,1.6917,0.00988615,0.00988615,0.00988615
25,322.63,1.11285,0.877,1.82471,0.82861,0.72682,0.81458,0.57714,1.12456,0.86521,1.68679,0.0098812,0.0098812,0.0098812
26,336.703,1.09873,0.87349,1.81199,0.83306,0.72974,0.8099,0.57137,1.10317,0.88408,1.68046,0.00987625,0.00987625,0.00987625
27,351.305,1.1098,0.88074,1.81207,0.82663,0.70317,0.78799,0.55629,1.13957,0.96196,1.71066,0.0098713,0.0098713,0.0098713
28,365.613,1.09054,0.86191,1.79181,0.8485,0.72246,0.81262,0.57812,1.10837,0.86154,1.68497,0.00986635,0.00986635,0.00986635
29,380.352,1.09032,0.86307,1.79162,0.83296,0.71683,0.81345,0.58012,1.09362,0.86823,1.68863,0.0098614,0.0098614,0.0098614
30,395.022,1.08902,0.87482,1.80985,0.83183,0.70178,0.80484,0.57811,1.08062,0.8666,1.65602,0.00985645,0.00985645,0.00985645
31,409.205,1.08369,0.86642,1.79737,0.83035,0.69571,0.79772,0.56607,1.12039,0.92126,1.69961,0.0098515,0.0098515,0.0098515
32,422.265,1.09116,0.86718,1.79645,0.79883,0.67828,0.77119,0.54713,1.14517,0.99454,1.72309,0.00984655,0.00984655,0.00984655
