epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9667,1.75448,2.06213,2.28831,0.76555,0.698,0.75952,0.52509,1.16256,1.028,1.82673,0.00330033,0.00330033,0.00330033
2,25.4952,1.32501,1.15211,1.94263,0.84875,0.72158,0.82562,0.60252,1.07912,0.86127,1.71312,0.00663038,0.00663038,0.00663038
3,34.8591,1.24112,1.05455,1.89102,0.80562,0.75846,0.81733,0.60138,1.06323,0.86528,1.69748,0.00995713,0.00995713,0.00995713
4,44.2309,1.17167,0.97535,1.83391,0.85501,0.73791,0.83138,0.62193,1.0187,0.82106,1.62698,0.00998515,0.00998515,0.00998515
5,53.3802,1.17034,0.96107,1.81929,0.83378,0.7367,0.82492,0.62113,1.03347,0.85062,1.61581,0.0099802,0.0099802,0.0099802
6,62.3614,1.14222,0.9279,1.81692,0.84694,0.76069,0.84242,0.63303,1.00604,0.79618,1.6029,0.00997525,0.00997525,0.00997525
7,71.6108,1.12039,0.91046,1.77336,0.86884,0.75965,0.85361,0.63943,1.01282,0.78299,1.58981,0.0099703,0.0099703,0.0099703
8,80.8249,1.09806,0.87853,1.76685,0.863,0.76069,0.84661,0.63665,0.96725,0.79048,1.5901,0.00996535,0.00996535,0.00996535
9,89.9948,1.10337,0.87537,1.76198,0.87135,0.74035,0.84843,0.64486,1.00539,0.78838,1.57618,0.0099604,0.0099604,0.0099604
10,99.0971,1.08907,0.88011,1.75186,0.86026,0.77216,0.85373,0.64474,1.00571,0.7672,1.59773,0.00995545,0.00995545,0.00995545
11,108.458,1.07934,0.86133,1.73915,0.85991,0.76488,0.85296,0.65563,0.94967,0.7713,1.5705,0.0099505,0.0099505,0.0099505
12,117.764,1.05598,0.84372,1.72702,0.86451,0.76514,0.85349,0.65562,0.94166,0.75682,1.55043,0.00994555,0.00994555,0.00994555
13,126.736,1.04471,0.82816,1.727,0.87839,0.75235,0.84841,0.66062,0.93595,0.75377,1.54808,0.0099406,0.0099406,0.0099406
14,135.774,1.0583,0.83932,1.72459,0.88244,0.75924,0.85557,0.66323,0.94092,0.74383,1.5497,0.00993565,0.00993565,0.00993565
